minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,mrtDisp,roomPax,amtBedroom,commentsSentiment,room_type_Private room
180.0,1.0,0.01,2.0,365.0,0.010919138793879582,0.0,0.0,0.9615,0.0
90.0,18.0,0.28,1.0,365.0,0.003923224439153014,0.0,0.0,0.8106111111111111,0.0
6.0,20.0,0.2,2.0,365.0,0.011633411881294407,0.0,0.0,0.89656,0.0
1.0,14.0,0.15,9.0,353.0,0.004357482989053267,0.0,0.0,0.5826550000000001,0.0
1.0,22.0,0.22,9.0,355.0,0.003928349398919816,0.0,0.0,0.822825,0.0
1.0,39.0,0.38,9.0,346.0,0.0048254356280023536,0.0,0.0,0.5514583333333334,0.0
1.0,25.0,0.25,9.0,172.0,0.002251859009792017,0.0,0.0,0.7019344827586206,0.0
1.0,0.0,0.0,1.0,365.0,0.0012606922701595064,0.0,0.0,0.0,0.0
7.0,15.0,0.16,1.0,365.0,0.002647415343319068,0.0,0.0,0.8841800000000001,0.0
90.0,174.0,1.88,4.0,59.0,0.0020514806847739047,0.0,0.0,0.8486988636363638,0.0
90.0,198.0,2.08,4.0,133.0,0.004010178674321507,0.0,0.0,0.8390437185929648,0.0
90.0,236.0,2.53,4.0,147.0,0.003919958290596893,0.0,0.0,0.8260228813559324,0.0
15.0,18.0,0.23,32.0,331.0,0.0065135499537520855,0.0,0.0,0.762135,0.0
30.0,10.0,0.11,32.0,276.0,0.005941853666997649,0.0,0.0,0.6363166666666666,0.0
2.0,12.0,0.14,9.0,239.0,0.003778609400296341,0.0,3.0,0.6966916666666666,0.0
2.0,125.0,1.35,6.0,336.0,0.0025837416666532657,0.0,0.0,0.7825233082706765,0.0
10.0,104.0,1.28,1.0,0.0,0.0036840853681578576,0.0,0.0,0.7103144230769229,0.0
1.0,2.0,0.04,4.0,365.0,0.007853837406009572,0.0,0.0,0.42395,0.0
30.0,13.0,0.15,32.0,340.0,0.005952546765878783,0.0,0.0,0.8158857142857142,0.0
30.0,10.0,0.14,32.0,331.0,0.005227774383039343,0.0,0.0,0.62698,0.0
120.0,7.0,0.1,34.0,365.0,0.006446977974213532,0.0,0.0,0.7332428571428571,1.0
90.0,3.0,0.04,32.0,361.0,0.007316782421264622,0.0,0.0,0.6473666666666666,0.0
2.0,45.0,0.5,9.0,357.0,0.0074828449803553,0.0,0.0,0.6473655172413795,0.0
90.0,0.0,0.0,1.0,173.0,0.005637686138835441,0.0,0.0,0.0,0.0
2.0,84.0,1.17,6.0,340.0,0.002369527590046523,0.0,0.0,0.8389510869565212,0.0
2.0,157.0,1.75,6.0,349.0,0.002240187715348642,0.0,0.0,0.7285884848484846,0.0
90.0,27.0,0.36,1.0,364.0,0.007596066613721173,0.0,0.0,0.8393000000000002,0.0
1.0,16.0,0.19,9.0,300.0,0.006579002127984837,0.0,0.0,0.8289111111111109,0.0
2.0,82.0,0.83,1.0,365.0,0.011280953372831495,0.0,0.0,0.869591463414634,0.0
180.0,0.0,0.0,1.0,365.0,0.006405265412132687,0.0,0.0,0.0,0.0
2.0,155.0,1.87,1.0,48.0,0.00377780002117842,0.0,0.0,0.8461929032258064,1.0
2.0,23.0,0.27,3.0,345.0,0.006205741615631464,0.0,0.0,0.7204068965517244,0.0
4.0,11.0,0.13,1.0,362.0,0.003385501587664459,0.0,1.0,0.7043727272727273,1.0
2.0,78.0,1.17,1.0,86.0,0.003817508218718938,0.0,0.0,0.7218518987341774,0.0
1.0,33.0,0.37,1.0,345.0,0.005349200033647025,0.0,0.0,0.5602606060606059,0.0
180.0,0.0,0.0,1.0,365.0,0.002522538800494854,0.0,0.0,0.0,0.0
3.0,55.0,0.66,1.0,25.0,0.0066966351251933716,0.0,0.0,0.905778181818182,0.0
90.0,28.0,0.33,1.0,90.0,0.002621404585340572,0.0,0.0,0.8665142857142857,0.0
1.0,0.0,0.0,1.0,0.0,0.002195787330322832,0.0,0.0,0.0,0.0
180.0,4.0,0.05,1.0,365.0,0.007450082012971264,0.0,1.0,0.8944000000000001,1.0
180.0,0.0,0.0,1.0,365.0,0.014249344476147438,0.0,0.0,0.0,0.0
2.0,99.0,1.28,1.0,7.0,0.016127338683113,0.0,2.0,0.8716213675213675,1.0
4.0,72.0,0.79,4.0,0.0,0.0015801094898724962,0.0,0.0,0.7168263888888888,0.0
4.0,26.0,0.28,3.0,365.0,0.0009632372501067195,0.0,0.0,0.7345444444444444,0.0
2.0,68.0,0.83,5.0,167.0,0.011720402766113896,0.0,0.0,0.8254594202898552,0.0
1.0,36.0,0.44,1.0,0.0,0.002030401191872102,0.0,0.0,0.6820527777777776,0.0
1.0,0.0,0.0,1.0,0.0,0.0042433506807779435,0.0,0.0,0.0,0.0
92.0,48.0,0.61,1.0,179.0,0.002511235552473913,0.0,0.0,0.7929173076923076,0.0
90.0,2.0,0.02,112.0,365.0,0.002059871840665389,0.0,0.0,0.95355,0.0
1.0,0.0,0.0,1.0,365.0,0.0006155322899731868,0.0,0.0,0.0,0.0
3.0,0.0,0.17,1.0,365.0,0.003868503845149139,0.0,0.0,0.872,0.0
30.0,13.0,0.17,32.0,331.0,0.005991283084614947,0.0,0.0,0.7548571428571428,0.0
2.0,37.0,0.46,5.0,221.0,0.014578158491386866,0.0,2.0,0.802665,1.0
2.0,68.0,0.84,5.0,173.0,0.011956251126514949,0.0,0.0,0.7891442857142855,0.0
60.0,9.0,0.11,3.0,334.0,0.006761120099514189,0.0,0.0,0.7665000000000001,1.0
1.0,0.0,0.0,1.0,365.0,0.007984163888598248,0.0,0.0,0.0,0.0
1.0,2.0,0.05,1.0,208.0,0.010240231491528572,0.0,0.0,0.7794,0.0
18.0,2.0,0.07,94.0,334.0,0.00156550119769712,0.0,0.0,0.7784,0.0
30.0,20.0,0.25,3.0,361.0,0.008053909920032572,0.0,0.0,0.6322095238095239,0.0
4.0,43.0,0.5,3.0,365.0,0.006704530184876547,0.0,0.0,0.7765139534883724,0.0
365.0,0.0,0.0,1.0,365.0,0.002595712811539428,0.0,1.0,0.0,0.0
90.0,3.0,0.04,112.0,0.0,0.001833066283582664,0.0,0.0,0.35707500000000003,0.0
30.0,10.0,0.12,3.0,268.0,0.0070406409509361015,0.0,0.0,0.90095,0.0
5.0,14.0,0.19,1.0,143.0,0.002873085623513342,0.0,0.0,0.9033357142857144,1.0
18.0,6.0,0.15,112.0,359.0,0.0015818280563952535,0.0,0.0,0.4565125,0.0
18.0,2.0,0.05,138.0,352.0,0.001964898216199891,0.0,0.0,0.5352,0.0
1.0,25.0,0.41,1.0,339.0,0.01483972432359466,0.0,0.0,0.7131279999999998,0.0
60.0,6.0,0.08,3.0,350.0,0.0021334446324974905,0.0,0.0,0.6094299999999999,1.0
28.0,6.0,0.16,112.0,333.0,0.0015740495544946489,0.0,0.0,0.6159428571428571,0.0
1.0,2.0,2.0,1.0,365.0,0.003398976316475322,0.0,0.0,0.88425,0.0
18.0,2.0,0.24,94.0,334.0,0.001551964561451396,0.0,0.0,0.6556500000000001,0.0
32.0,6.0,0.12,2.0,339.0,0.014247267281840543,0.0,0.0,0.4323,0.0
2.0,222.0,2.85,2.0,0.0,0.008157867981284345,0.0,0.0,0.8329532520325201,0.0
2.0,145.0,2.04,1.0,230.0,0.006521570516363185,0.0,0.0,0.7818073033707859,1.0
3.0,7.0,0.09,1.0,22.0,0.0028488594208916627,0.0,2.0,0.9703285714285714,0.0
3.0,15.0,0.2,2.0,131.0,0.003899854869086872,0.0,0.0,0.8443611111111111,0.0
30.0,60.0,0.78,3.0,225.0,0.010449247102068413,0.0,0.0,0.6471183333333334,0.0
2.0,17.0,0.64,1.0,133.0,0.0033741161805776786,0.0,0.0,0.8495705882352942,1.0
5.0,20.0,0.29,1.0,351.0,0.01624314750903477,0.0,0.0,0.6976449999999998,1.0
2.0,1.0,0.03,1.0,360.0,0.003343041280032816,0.0,0.0,0.0,0.0
30.0,8.0,0.16,1.0,88.0,0.0030724949145609073,0.0,0.0,0.9269875,0.0
18.0,2.0,0.05,112.0,360.0,0.00431694567952443,0.0,0.0,0.78845,0.0
90.0,14.0,0.18,1.0,0.0,0.006968966781384797,0.0,0.0,0.9254499999999998,0.0
90.0,28.0,0.4,2.0,119.0,0.002642497303690103,0.0,0.0,0.8953357142857143,1.0
1.0,0.0,0.0,1.0,365.0,0.009765124935195293,0.0,0.0,0.0,0.0
9.0,29.0,0.39,1.0,277.0,0.00806198741006332,0.0,0.0,0.7899896551724138,1.0
7.0,42.0,0.61,19.0,330.0,0.003107336480009456,0.0,0.0,0.7536249999999999,1.0
2.0,30.0,0.42,3.0,340.0,0.00984243714737337,0.0,0.0,0.8279966666666667,0.0
7.0,29.0,0.42,19.0,0.0,0.004985107822304979,0.0,1.0,0.7954382352941176,1.0
7.0,29.0,0.41,19.0,340.0,0.005057780145478343,0.0,0.0,0.8052575757575758,1.0
6.0,10.0,0.14,2.0,0.0,0.00981428372322694,0.0,0.0,0.7312700000000001,0.0
90.0,4.0,0.11,112.0,322.0,0.00032402469041935565,0.0,0.0,0.571575,0.0
18.0,1.0,0.03,112.0,332.0,0.0013451338223367086,0.0,0.0,0.9898,0.0
90.0,3.0,0.1,112.0,356.0,0.0004966809841337925,0.0,0.0,0.5952666666666667,0.0
3.0,20.0,0.43,2.0,326.0,0.009256146552427328,0.0,0.0,0.861915,0.0
21.0,1.0,0.02,1.0,260.0,0.006242586963744006,0.0,0.0,0.9805,1.0
5.0,7.0,0.1,9.0,0.0,0.015167653806712441,0.0,0.0,0.7857460526315788,0.0
5.0,11.0,0.27,9.0,343.0,0.015384203651795159,0.0,0.0,0.6055454545454546,0.0
5.0,27.0,0.4,1.0,359.0,0.0011705323575210266,0.0,0.0,0.6644851851851852,0.0
30.0,83.0,1.11,11.0,348.0,0.00480128993084385,0.0,0.0,0.731565909090909,1.0
365.0,5.0,0.07,24.0,80.0,0.0021672602520223442,0.0,0.0,0.8883200000000001,0.0
2.0,72.0,0.97,1.0,354.0,0.008850346490392819,0.0,0.0,0.7825675324675324,0.0
365.0,2.0,0.03,24.0,80.0,0.002357591355605997,0.0,0.0,0.93675,0.0
3.0,1.0,0.02,24.0,80.0,0.0023513989453007858,0.0,0.0,0.9903,0.0
365.0,13.0,0.18,24.0,110.0,0.00048097505132523293,0.0,0.0,0.732576923076923,0.0
90.0,3.0,0.04,112.0,361.0,0.00037724262749774736,0.0,0.0,0.3106,0.0
90.0,1.0,0.02,8.0,364.0,0.007931293211074728,0.0,0.0,0.948,0.0
90.0,4.0,0.05,8.0,364.0,0.012810475440046331,0.0,0.0,0.980325,0.0
90.0,2.0,0.03,8.0,358.0,0.0033586159351720922,0.0,0.0,0.79175,0.0
90.0,3.0,0.04,8.0,364.0,0.014280702783826904,0.0,0.0,0.6581666666666667,0.0
2.0,1.0,0.02,1.0,363.0,0.006780489141634732,0.0,0.0,0.9851,0.0
90.0,5.0,0.07,8.0,364.0,0.00904479192684542,0.0,0.0,0.72312,0.0
90.0,5.0,0.06,8.0,364.0,0.010139522720523032,0.0,0.0,0.92526,0.0
90.0,9.0,0.14,8.0,364.0,0.007184637847513575,0.0,0.0,0.6993,0.0
14.0,97.0,1.16,1.0,364.0,0.006275654945900593,0.0,0.0,0.6943422680412372,0.0
4.0,6.0,0.08,1.0,0.0,0.008634296844552136,0.0,0.0,0.7405666666666666,1.0
90.0,29.0,0.4,1.0,76.0,0.005384266059551664,0.0,0.0,0.8798290322580645,0.0
5.0,51.0,0.79,1.0,74.0,0.012178390903579679,0.0,0.0,0.8698877192982459,0.0
18.0,8.0,0.13,112.0,359.0,0.00023193533581258497,0.0,0.0,0.5347624999999999,0.0
5.0,22.0,0.49,1.0,67.0,0.004391192320993157,0.0,0.0,0.7218586206896551,0.0
108.0,0.0,0.0,1.0,365.0,0.007290612182798649,0.0,0.0,0.0,0.0
14.0,0.0,0.0,1.0,365.0,0.002324802787331041,0.0,0.0,0.0,1.0
2.0,9.0,0.19,38.0,349.0,0.001962224502954439,0.0,0.0,0.6498611111111111,1.0
1.0,0.0,0.0,1.0,365.0,0.00571500699912557,0.0,0.0,0.0,0.0
183.0,0.0,0.0,1.0,365.0,0.0024647233110420066,0.0,0.0,0.0,0.0
90.0,3.0,0.17,112.0,356.0,0.0013291696656193485,0.0,0.0,0.5602333333333334,0.0
2.0,27.0,0.39,5.0,223.0,0.013790431501581454,0.0,0.0,0.8509444444444441,0.0
1.0,0.0,0.0,1.0,365.0,0.01219863410387228,0.0,0.0,0.0,0.0
